vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万基础化工行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801030.SI|申万基础化工Ⅰ|603948.SH|建业股份|-|18.96|-0.52|-2.67|-|136.97|2590.27|1.62|30.81|0.44|8.41|化学原料和化学制品制造业|2020-03-09|
|801030.SI|申万基础化工Ⅰ|603938.SH|三孚股份|-|49.56|4.51|10.01|-|2732.83|131818.78|3.83|189.63|1.32|65.34|化学原料和化学制品制造业|2017-07-05|
|801030.SI|申万基础化工Ⅰ|603928.SH|兴业股份|-|11.12|-0.18|-1.59|-|915.69|10101.67|3.41|37.89|1.17|12.96|化学原料和化学制品制造业|2016-12-19|
|801030.SI|申万基础化工Ⅰ|603916.SH|苏博特|-|10.37|-0.44|-4.07|-|856.99|8917.53|4.20|43.59|2.19|22.75|化学原料和化学制品制造业|2017-11-17|
|801030.SI|申万基础化工Ⅰ|603879.SH|永悦科技|-|5.15|-0.14|-2.65|-|880.43|4513.50|3.59|18.51|2.22|11.42|化学原料和化学制品制造业|2017-06-21|
|801030.SI|申万基础化工Ⅰ|603867.SH|新化股份|-|28.92|-1.03|-3.44|-|647.94|18756.50|2.17|62.90|1.64|47.48|化学原料和化学制品制造业|2019-07-04|
|801030.SI|申万基础化工Ⅰ|603826.SH|坤彩科技|-|16.02|-0.47|-2.85|-|1148.75|18362.35|8.52|136.45|2.29|36.65|化学原料和化学制品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|603823.SH|百合花|-|54.30|-2.10|-3.72|-|1802.65|97840.81|4.16|226.09|1.37|74.18|化学原料和化学制品制造业|2016-12-27|
|801030.SI|申万基础化工Ⅰ|603822.SH|ST嘉澳|-|62.31|-1.27|-2.00|-|51.75|3219.19|0.77|47.87|0.41|25.46|石油加工、炼焦和核燃料加工业|2016-05-06|
|801030.SI|申万基础化工Ⅰ|603810.SH|丰山集团|-|11.80|-0.36|-2.96|-|265.24|3125.38|1.65|19.51|0.90|10.59|化学原料和化学制品制造业|2018-09-25|
|801030.SI|申万基础化工Ⅰ|603790.SH|雅运股份|-|22.44|-1.07|-4.55|-|307.35|6914.51|1.91|42.94|0.68|15.17|化学原料和化学制品制造业|2018-09-19|
|801030.SI|申万基础化工Ⅰ|603739.SH|蔚蓝生物|-|12.53|-0.46|-3.54|-|354.61|4475.91|2.53|31.70|1.05|13.17|食品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|603722.SH|阿科力|-|28.07|-0.60|-2.09|-|125.88|3530.83|0.98|27.43|0.55|15.37|化学原料和化学制品制造业|2017-11-01|
|801030.SI|申万基础化工Ⅰ|603688.SH|石英股份|-|46.88|-0.11|-0.23|-|1198.01|55512.40|5.42|253.94|2.58|120.90|非金属矿物制品业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|603683.SH|晶华新材|-|15.02|-0.34|-2.21|-|1391.52|20789.46|2.91|43.77|1.88|28.31|化学原料和化学制品制造业|2017-10-27|
|801030.SI|申万基础化工Ⅰ|603681.SH|永冠新材|-|17.83|-0.37|-2.03|-|686.85|12300.72|2.38|42.39|1.53|27.33|化学原料和化学制品制造业|2019-04-02|
|801030.SI|申万基础化工Ⅰ|603663.SH|三祥新材|-|41.54|-1.64|-3.80|-|2691.52|112066.28|5.94|246.57|2.68|111.25|非金属矿物制品业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|603650.SH|彤程新材|-|63.25|-1.26|-1.95|-|1930.01|122048.74|6.16|389.66|2.21|139.68|化学原料和化学制品制造业|2018-07-04|
|801030.SI|申万基础化工Ⅰ|603639.SH|海利尔|-|10.67|-0.25|-2.29|-|223.79|2391.27|3.50|37.31|1.21|12.92|化学原料和化学制品制造业|2017-01-19|
|801030.SI|申万基础化工Ⅰ|603612.SH|索通发展|-|17.00|-0.36|-2.07|-|1949.18|32456.10|4.98|84.68|3.70|62.83|非金属矿物制品业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|603599.SH|广信股份|-|10.78|-0.29|-2.62|-|1643.55|17737.44|9.10|98.13|5.24|56.48|化学原料和化学制品制造业|2015-05-20|
|801030.SI|申万基础化工Ⅰ|603585.SH|苏利股份|-|10.72|-0.50|-4.46|-|652.39|7026.59|2.75|29.52|0.96|10.25|化学原料和化学制品制造业|2016-12-21|
|801030.SI|申万基础化工Ⅰ|603580.SH|艾艾精工|-|62.88|-1.79|-2.77|-|685.52|42760.04|1.31|82.17|0.42|26.47|橡胶和塑料制品业|2017-06-05|
|801030.SI|申万基础化工Ⅰ|603505.SH|金石资源|-|14.93|-0.28|-1.84|-|1078.19|16138.26|8.42|125.66|3.81|56.93|非金属矿采选业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|603435.SH|嘉德利|-|45.72|-0.18|-0.39|-|247.71|11336.03|4.59|209.93|0.36|16.32|计算机、通信和其他电子设备制造业|2026-05-29|
|801030.SI|申万基础化工Ⅰ|603406.SH|天富龙|-|30.37|-0.93|-2.97|-|319.48|9689.00|4.00|121.48|0.59|17.83|化学纤维制造业|2025-08-15|
|801030.SI|申万基础化工Ⅰ|603395.SH|红四方|-|25.95|-2.63|-9.20|-|1417.11|37780.82|2.60|67.47|0.57|14.75|化学原料和化学制品制造业|2024-12-03|
|801030.SI|申万基础化工Ⅰ|603382.SH|海阳科技|-|18.43|-0.53|-2.80|-|196.29|3633.56|1.81|33.40|0.81|15.02|化学原料和化学制品制造业|2025-06-19|
|801030.SI|申万基础化工Ⅰ|603379.SH|三美股份|-|53.11|-3.12|-5.55|-|930.07|49703.98|6.10|324.23|2.50|132.96|化学原料和化学制品制造业|2019-04-10|
|801030.SI|申万基础化工Ⅰ|603360.SH|百傲化学|-|12.25|-0.51|-4.00|-|1062.97|12955.31|7.06|86.51|3.14|38.46|化学原料和化学制品制造业|2017-02-13|
|801030.SI|申万基础化工Ⅰ|603334.SH|丰倍生物|-|29.84|-0.82|-2.67|-|106.68|3204.54|1.44|42.82|0.32|9.49|废弃资源综合利用业|2025-11-12|
|801030.SI|申万基础化工Ⅰ|603332.SH|苏州龙杰|-|11.37|-0.27|-2.32|-|369.33|4203.31|2.16|24.60|0.86|9.83|化学纤维制造业|2019-01-24|
|801030.SI|申万基础化工Ⅰ|603330.SH|天洋新材|-|9.18|-0.45|-4.67|-|5469.50|50369.06|4.33|39.72|2.81|25.76|橡胶和塑料制品业|2017-02-20|
|801030.SI|申万基础化工Ⅰ|603310.SH|巍华新材|-|14.86|0.04|0.27|-|197.66|2922.96|3.45|51.32|1.36|20.17|化学原料和化学制品制造业|2024-08-21|
|801030.SI|申万基础化工Ⅰ|603299.SH|苏盐井神|-|8.69|-0.25|-2.80|-|669.45|5845.53|9.55|82.97|3.73|32.40|化学原料和化学制品制造业|2016-03-15|
|801030.SI|申万基础化工Ⅰ|603285.SH|键邦股份|-|35.52|1.90|5.65|-|1100.38|38125.04|1.60|56.83|0.62|22.13|化学原料和化学制品制造业|2024-07-12|
|801030.SI|申万基础化工Ⅰ|603281.SH|江瀚新材|-|18.21|-0.45|-2.41|-|258.41|4718.59|5.19|94.44|2.81|51.18|化学原料和化学制品制造业|2023-02-07|
|801030.SI|申万基础化工Ⅰ|603276.SH|恒兴新材|-|16.43|-0.35|-2.09|-|278.25|4569.23|2.08|34.12|0.76|12.53|化学原料和化学制品制造业|2023-10-10|
|801030.SI|申万基础化工Ⅰ|603260.SH|合盛硅业|-|32.21|-0.87|-2.63|-|843.00|27007.79|11.82|380.79|3.14|101.16|化学原料和化学制品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|603255.SH|鼎际得|-|28.85|-0.98|-3.29|-|112.67|3227.77|1.34|38.67|0.38|11.07|化学原料和化学制品制造业|2022-08-25|
|801030.SI|申万基础化工Ⅰ|603235.SH|天新药业|-|25.16|-0.46|-1.80|-|78.59|1987.78|4.38|110.15|0.52|13.05|食品制造业|2022-07-19|
|801030.SI|申万基础化工Ⅰ|603227.SH|雪峰科技|-|7.57|-0.28|-3.57|-|1100.95|8402.99|10.72|81.13|3.84|29.09|化学原料和化学制品制造业|2015-05-22|
|801030.SI|申万基础化工Ⅰ|603225.SH|新凤鸣|-|16.93|-1.32|-7.23|-|2690.02|46195.49|16.77|284.00|8.00|135.37|化学纤维制造业|2017-04-25|
|801030.SI|申万基础化工Ⅰ|603217.SH|元利科技|-|27.00|-0.08|-0.30|-|376.52|10139.29|2.08|56.18|0.78|20.96|化学原料和化学制品制造业|2019-06-28|
|801030.SI|申万基础化工Ⅰ|603213.SH|镇洋发展|-|13.60|-0.09|-0.66|-|258.59|3502.76|4.45|60.51|1.09|14.86|化学原料和化学制品制造业|2021-11-18|
|801030.SI|申万基础化工Ⅰ|603192.SH|汇得科技|-|20.32|-0.29|-1.41|-|252.40|5126.88|1.67|33.96|0.68|13.72|化学原料和化学制品制造业|2018-09-04|
|801030.SI|申万基础化工Ⅰ|603188.SH|亚邦股份|-|4.58|-0.20|-4.18|-|1369.63|6323.65|5.70|26.11|4.01|18.37|化学原料和化学制品制造业|2014-09-16|
|801030.SI|申万基础化工Ⅰ|603181.SH|皇马科技|-|12.28|-0.26|-2.07|-|421.51|5170.95|5.89|72.29|3.36|41.32|化学原料和化学制品制造业|2017-08-31|
|801030.SI|申万基础化工Ⅰ|603172.SH|万丰股份|-|18.10|-0.75|-3.98|-|227.28|4118.21|1.33|24.14|0.43|7.85|化学原料和化学制品制造业|2023-05-17|
|801030.SI|申万基础化工Ⅰ|603155.SH|新亚强|-|13.20|-0.22|-1.64|-|645.24|8443.33|4.58|60.44|1.29|17.03|化学原料和化学制品制造业|2020-09-08|
|801030.SI|申万基础化工Ⅰ|603150.SH|万朗磁塑|-|69.91|-0.59|-0.84|-|332.84|23288.37|0.85|59.76|0.56|39.16|电气机械和器材制造业|2022-02-07|
|801030.SI|申万基础化工Ⅰ|603125.SH|常青科技|-|22.55|-0.52|-2.25|-|404.70|9086.01|4.05|91.29|1.10|24.88|化学原料和化学制品制造业|2023-04-17|
|801030.SI|申万基础化工Ⅰ|603120.SH|肯特催化|-|49.21|-0.08|-0.16|-|293.69|14427.15|0.90|44.49|0.36|17.72|化学原料和化学制品制造业|2025-04-23|
|801030.SI|申万基础化工Ⅰ|603113.SH|金能科技|-|5.02|-0.26|-4.92|-|3304.01|16814.84|8.48|42.59|4.18|20.98|化学原料和化学制品制造业|2024-05-22|
|801030.SI|申万基础化工Ⅰ|603110.SH|东方材料|-|22.74|-0.59|-2.53|-|746.62|16986.38|2.01|45.76|1.59|36.19|化学原料和化学制品制造业|2017-10-20|
|801030.SI|申万基础化工Ⅰ|603086.SH|先达股份|-|6.12|-0.26|-4.08|-|1451.54|8928.61|4.35|26.61|2.76|16.91|化学原料和化学制品制造业|2017-05-18|
|801030.SI|申万基础化工Ⅰ|603079.SH|圣达生物|-|12.36|-0.34|-2.68|-|460.29|5681.45|1.89|23.36|1.01|12.45|食品制造业|2024-07-31|
|801030.SI|申万基础化工Ⅰ|603077.SH|和邦生物|-|2.37|-0.09|-3.66|-|28798.41|68083.75|88.32|209.31|54.32|128.73|化学原料和化学制品制造业|2012-08-07|
|801030.SI|申万基础化工Ⅰ|603073.SH|彩蝶实业|-|16.03|-0.64|-3.84|-|208.33|3345.29|1.16|18.59|0.47|7.57|纺织业|2023-03-23|
|801030.SI|申万基础化工Ⅰ|603067.SH|振华股份|-|35.50|-0.46|-1.28|-|2979.06|103462.92|7.56|268.21|4.81|170.80|化学原料和化学制品制造业|2016-09-22|
|801030.SI|申万基础化工Ⅰ|603065.SH|宿迁联盛|-|13.55|-0.12|-0.88|-|1242.73|16659.87|4.19|56.77|1.71|23.20|化学原料和化学制品制造业|2023-03-28|
|801030.SI|申万基础化工Ⅰ|603062.SH|麦加芯彩|-|36.88|-0.52|-1.39|-|26.00|957.68|1.08|39.83|0.32|11.93|化学原料和化学制品制造业|2023-11-14|
|801030.SI|申万基础化工Ⅰ|603051.SH|鹿山新材|-|22.78|0.24|1.06|-|783.35|17415.86|1.63|37.09|1.05|23.86|橡胶和塑料制品业|2022-04-01|
|801030.SI|申万基础化工Ⅰ|603041.SH|美思德|-|11.00|-0.26|-2.31|-|261.41|2869.04|1.83|20.15|1.08|11.91|化学原料和化学制品制造业|2017-04-10|
|801030.SI|申万基础化工Ⅰ|603033.SH|三维股份|-|7.02|-0.27|-3.70|-|816.71|5762.65|10.31|72.39|3.68|25.84|橡胶和塑料制品业|2016-12-14|
|801030.SI|申万基础化工Ⅰ|603020.SH|爱普股份|-|10.15|-0.18|-1.74|-|902.54|9261.86|3.76|38.13|2.36|23.91|食品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|603010.SH|万盛股份|-|11.43|-0.36|-3.05|-|973.27|11005.70|5.85|66.87|2.71|31.01|化学原料和化学制品制造业|2014-10-17|
|801030.SI|申万基础化工Ⅰ|603004.SH|鼎龙科技|-|17.70|-0.51|-2.80|-|180.03|3194.72|2.36|41.69|0.59|10.42|化学原料和化学制品制造业|2024-01-04|
|801030.SI|申万基础化工Ⅰ|601678.SH|滨化股份|-|5.89|-0.11|-1.83|-|7265.58|42444.83|24.09|141.89|16.77|98.79|化学原料和化学制品制造业|2010-03-02|
|801030.SI|申万基础化工Ⅰ|601568.SH|北元化工|-|3.72|-0.11|-2.87|-|6126.33|22700.95|39.72|147.77|15.76|58.65|化学原料和化学制品制造业|2020-10-27|
|801030.SI|申万基础化工Ⅰ|601216.SH|君正集团|-|4.69|-0.14|-2.90|-|8978.30|42153.33|84.38|395.74|31.70|148.66|化学原料和化学制品制造业|2011-03-01|
|801030.SI|申万基础化工Ⅰ|601208.SH|东材科技|-|47.72|-0.87|-1.79|-|5812.39|272344.72|10.10|482.06|7.71|367.84|化学原料和化学制品制造业|2011-05-27|
|801030.SI|申万基础化工Ⅰ|601113.SH|华鼎股份|-|3.43|-0.07|-2.00|-|1156.79|3960.05|13.54|46.45|6.50|22.30|零售业|2025-08-13|
|801030.SI|申万基础化工Ⅰ|601065.SH|江盐集团|-|6.77|-0.18|-2.59|-|718.39|4868.05|6.43|43.52|2.98|20.15|化学原料和化学制品制造业|2023-04-17|
|801030.SI|申万基础化工Ⅰ|601026.SH|道生天合|-|14.16|-0.15|-1.05|-|245.99|3472.62|6.59|93.37|1.11|15.73|化学原料和化学制品制造业|2025-10-24|
|801030.SI|申万基础化工Ⅰ|600989.SH|宝丰能源|-|23.97|-0.73|-2.96|-|9549.02|231827.50|73.33|1757.81|20.29|486.34|化学原料和化学制品制造业|2020-12-21|
|801030.SI|申万基础化工Ⅰ|600955.SH|维远股份|-|12.36|-0.42|-3.29|-|404.26|5026.02|5.50|67.98|1.91|23.58|化学原料和化学制品制造业|2021-09-24|
|801030.SI|申万基础化工Ⅰ|600935.SH|华塑股份|-|2.33|-0.05|-2.10|-|2919.94|6771.97|35.95|83.76|7.08|16.50|化学原料和化学制品制造业|2021-12-03|
|801030.SI|申万基础化工Ⅰ|600929.SH|雪天盐业|-|6.04|0.00|0.00|-|0.00|0.00|16.40|99.06|0.98|5.91|食品制造业|2018-04-04|
|801030.SI|申万基础化工Ⅰ|600873.SH|梅花生物|-|7.56|-0.16|-2.07|-|3064.55|23160.80|28.04|212.00|18.33|138.61|食品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|600866.SH|星湖科技|-|4.25|-0.17|-3.85|-|3832.95|16372.88|16.61|70.61|9.54|40.53|食品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|600844.SH|金煤科技|-|3.54|-0.28|-7.33|-|10608.88|38077.39|10.17|35.98|5.87|20.78|化学原料和化学制品制造业|2009-10-12|
|801030.SI|申万基础化工Ⅰ|600810.SH|神马股份|-|6.43|-0.16|-2.43|-|687.23|4434.41|10.91|70.12|4.01|25.77|化学纤维制造业|1994-01-06|
|801030.SI|申万基础化工Ⅰ|600784.SH|鲁银投资|-|7.15|-0.17|-2.32|-|1077.83|7700.24|6.76|48.31|3.99|28.52|食品制造业|2025-08-13|
|801030.SI|申万基础化工Ⅰ|600746.SH|江苏索普|-|7.11|-0.28|-3.79|-|1078.81|7706.90|11.68|83.03|2.86|20.31|化学原料和化学制品制造业|1996-09-18|
|801030.SI|申万基础化工Ⅰ|600731.SH|湖南海利|-|5.72|-0.15|-2.56|-|1041.73|5973.18|5.54|31.68|3.69|21.09|化学原料和化学制品制造业|1996-08-02|
|801030.SI|申万基础化工Ⅰ|600727.SH|鲁北化工|-|7.58|-0.23|-2.94|-|1426.76|10823.49|5.29|40.07|3.26|24.74|化学原料和化学制品制造业|2011-08-19|
|801030.SI|申万基础化工Ⅰ|600722.SH|金牛化工|-|16.98|-1.33|-7.26|-|12833.92|223111.75|6.80|115.52|2.99|50.78|化学原料和化学制品制造业|1996-06-26|
|801030.SI|申万基础化工Ⅰ|600714.SH|金瑞矿业|-|17.90|-1.27|-6.62|-|3513.64|63358.06|2.88|51.58|1.87|33.41|化学原料和化学制品制造业|2017-07-03|
|801030.SI|申万基础化工Ⅰ|600691.SH|潞化科技|-|3.10|-0.21|-6.34|-|12389.40|38712.10|23.76|73.66|11.64|36.10|化学原料和化学制品制造业|2013-07-01|
|801030.SI|申万基础化工Ⅰ|600623.SH|华谊集团|-|8.52|-0.39|-4.38|-|2149.44|18469.39|21.19|180.58|6.50|55.37|化学原料和化学制品制造业|1992-12-04|
|801030.SI|申万基础化工Ⅰ|600618.SH|氯碱化工|-|10.05|-0.38|-3.64|-|962.39|9648.36|11.56|116.22|2.08|20.95|化学原料和化学制品制造业|1992-11-13|
|801030.SI|申万基础化工Ⅰ|600610.SH|中毅达|-|7.75|-0.50|-6.06|-|4931.37|38353.15|10.71|83.02|4.44|34.38|化学原料和化学制品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|600596.SH|新安股份|-|12.49|0.47|3.91|-|12141.51|147785.78|13.50|168.56|8.99|112.29|化学原料和化学制品制造业|2001-09-06|
|801030.SI|申万基础化工Ⅰ|600500.SH|中化国际|-|5.71|-0.06|-1.04|-|11966.84|67290.28|35.88|204.89|15.58|88.99|化学原料和化学制品制造业|2014-02-21|
